Case_Num	Prod_Period	Prod_Type	Shift	Line	Prop_Def	Strength	Rating	Line_Speed	Tank_Acid	Moisture	Temp	Storage_Pct	Anneal_Temp	Bake_1_Temp	Bake_2_Temp	Roll_Tension	Rewind_Speed	Coating_Speed
317	3	1	2	2	.023	229.39	2.43	309.9	3.45	48.8	80.8	75.2	180	136.8	201.2	10.4	100.7	101.2
318	3	1	2	2	.022	427.47	3.73	469.8	3.73	49.8	80.8	79	188	136.7	201.2	9.9	125	101.2
319	3	1	2	3	.032	403.66	3.66	437.9	3.38	48.3	60.6	86	196	136.9	201.4	25	125	101.2
320	3	1	1	3	.031	424.96	3.52	456.3	3.59	49.1	75.75	86	196	136.9	201.4	25	125	101.2
321	3	1	2	2	.011	467.59	3.91	492	3.55	49.8	80.8	86.7	200	136.8	201.5	25	125	101.2
322	3	1	2	2	.014	384.83	3.36	474.8	3.77	48.3	60.6	94	228	136.6	201.4	25	125	101.2
323	3	1	2	2	.005	426.21	3.4	418.2	3.6	43.6	60.6	87	210	136.7	201.4	25	125	101.2
324	3	1	1	1	.012	491.4	4	471.1	3.83	49.8	80.8	94.7	228	136.6	201.4	25	125	101.2
328	3	1	1	3	.023	480.11	4	476	3.87	49.8	80.8	97.5	242	136.4	201.4	25	125	101.2
329	3	1	1	3	.022	471.32	3.05	452.6	3.52	49.8	77.36	97.7	246	136.4	201.4	25	125	101.2
330	3	3	2	2	.075	290.81	2.61	396.1	3.14	45.3	53.12	83.5	210	136.6	201.3	4.1	100.7	101.23
341	3	3	2	1	.158	392.36	3	369	2.87	44	62.01	85	207	136.7	201.3	4.5	33.6	101.209999
366	3	3	2	3	.259	423.7	3.73	432.9	3.65	46.8	70.7	66.5	175	136.6	201	13.1	369	101.23
373	3	3	1	3	.315	319.64	3.11	327.2	3.01	44.4	63.83	58.2	166	136.6	200.9	14.9	570.4	101.249999
374	3	3	2	3	.194	190.52	1.14	209.1	2.15	26.8	36.36	59.2	158	136.7	200.9	17.2	335.5	101.24
375	3	3	2	2	.234	231.9	1.76	343.1	2.71	42.2	60.6	64.2	168	136.7	201	18.1	234.8	101.22
376	3	3	1	2	.072	260.73	2.44	367.8	2.94	42.7	53.93	65.5	169	136.7	201	15.4	268.4	101.22
377	3	3	2	3	.171	443.75	3.81	461.3	3.62	49	79.38	72.7	174	136.8	201.2	11.3	100.7	101.209999
378	3	3	1	3	.16	447.51	3.84	472.3	3.7	49.1	78.37	71.7	172	136.8	201.2	11.8	100.7	101.2
379	3	3	1	3	.219	401.15	3.31	405.9	3.48	48.4	73.93	69	170	136.8	201.1	13.6	201.3	101.209999
381	3	3	3	2	.045	403.66	3.18	399.8	3.65	46.7	67.87	80.7	177	137	201.4	25	125	101.22
382	3	3	2	2	.046	403.66	3.26	403.4	3.39	46.4	60.6	80.5	170	137.1	201.4	25	125	101.2
383	3	3	2	2	.047	402.4	3.26	371.4	3.61	46.9	71.91	80	171	137.1	201.4	25	67.1	101.2
384	3	3	3	2	.037	403.66	3.68	425.6	3.63	48.4	75.75	81.3	190	136.8	201.3	5.9	125	101.2
385	3	3	3	3	.038	317.13	3	419.4	3.47	46.7	70.09	91.5	219	136.6	201.4	1.4	125	101.2
386	3	3	2	3	.037	406.17	3.59	419.4	3.47	49.8	80.8	80.7	180	136.9	201.3	5	125	101.2
387	3	3	1	3	.037	356	3.22	339.5	3.27	47	72.72	78.2	172	137	201.3	5	125	101.22
388	3	3	2	3	.043	468.85	3.81	468.6	3.6	48.4	75.55	95	240	136.4	201.4	25	125	101.22
389	3	3	2	3	.032	455.04	3.78	477.2	3.68	48.4	76.76	95	234	136.5	201.4	25	125	101.2
390	3	2	1	3	.042	417.43	3.52	471.1	3.67	49	78.78	82.5	183	137	201.4	1.8	125	101.2
391	3	2	1	3	.009	460.06	3.67	396.1	3.22	49.8	80.8	82.7	210	136.5	201.2	9	125	101.2
392	3	2	1	1	.006	501.44	4	471.1	4	49.8	80.8	100	250	136.3	201.5	25	125	101.2
393	3	2	2	3	.031	460.06	3.83	455.1	3.97	49.8	80.8	78.2	164	137.2	201.4	1.4	125	101.2
394	3	2	2	2	.052	488.89	3.94	458.8	3.8	49.8	78.78	97	246	136.4	201.4	25	125	101.2
395	3	2	2	3	.024	402.4	3.25	466.1	3.83	49.8	80.8	85.5	207	136.7	201.4	1.4	100.7	101.2
396	3	2	3	3	.038	487.64	3.89	466.1	3.82	48.5	80.8	87.7	218	136.7	201.4	25	125	101.2
397	3	2	3	2	.005	325.92	2.4	393.6	3.2	43.6	81	58.5	150	137	201.2	6.3	125	101.339999
398	3	2	2	2	.018	354.75	2.83	426.8	3.39	40.9	60.6	93.2	232	136.5	201.4	2.7	125	101.2
399	3	2	2	2	.033	269.51	2.18	369	3.03	46.4	64.64	77.2	189	136.8	201.3	3.6	125	101.249999
400	3	2	2	2	.031	307.13	2.48	356.7	3.34	44.2	60.6	72.2	177	136.8	201.2	7.2	67.1	101.249999
401	3	2	3	3	.01	313.4	2.3	356.7	2	46.7	80.8	69.7	196	136.6	201.2	25	125	101.429996
402	3	2	3	3	.025	406.17	3.48	471.1	3.33	49.8	80.8	81	197	136.8	201.4	25	100.7	101.259999
403	3	2	2	3	.03	358.51	3	398.5	3.12	49.8	80.8	81	197	136.8	201.4	25	100.7	101.259999
404	3	2	1	3	.045	451.28	3.76	434.2	3.56	48.3	74.54	78	171	137	201.3	4.5	125	101.2
405	3	2	1	3	.035	447.51	3.77	419.4	3.53	49.1	74.13	71.7	161	137	201.2	8.1	67.1	101.2
406	3	2	1	3	.041	303.36	2.5	359.2	3.24	48.7	77.97	85	187	137	201.4	25	125	101.2
407	3	2	1	3	.03	302.11	2.38	403.4	3.13	48.5	80.8	85.7	195	136.9	201.4	25	125	101.2
408	3	2	1	3	.038	287.05	2.13	323.5	2.86	44.5	53.93	85.7	190	136.9	201.4	25	125	101.2
409	3	2	1	2	.014	429.98	3.86	483.4	3.93	49.8	80.8	85.5	212	136.6	201.4	3.6	125	101.2
410	3	2	2	2	.026	453.79	3.77	477.2	3.72	48	75.75	87.7	203	136.8	201.4	25	125	101.2
411	3	2	2	2	.038	471.32	3.87	488.3	3.89	49.8	78.37	89	209	136.7	201.4	25	125	101.2
412	3	2	2	2	.033	428.72	3.76	450.2	3.6	49.8	75.75	74.2	171	137	201.3	4.1	100.7	101.23
413	3	2	1	3	.035	426.21	3.57	448.9	3.71	49.8	80.8	84.7	199	136.8	201.4	25	125	101.2
414	3	2	1	3	.035	358.51	2.91	357.9	3.12	39.9	75.75	84.7	193	136.9	201.4	25	125	101.2
415	3	2	1	3	.043	343.49	2.58	383.7	3.33	47.2	80.8	84	197	136.8	201.4	2.3	125	101.2
416	3	2	1	3	.028	429.98	3.5	444	3.57	49.8	78.78	85	211	136.6	201.3	2.3	167.8	101.22
417	3	2	1	2	.018	487.64	3.89	471.1	3.89	43.6	67.26	95	233	136.5	201.4	25	125	101.2
419	3	2	1	3	.006	480.11	4	492	4	49.8	80.8	100	250	136.3	201.5	25	125	101.2
420	3	4	2	3	.041	345.96	2.95	414.5	3.27	47.4	70.3	75.7	179	136.8	201.2	9.5	67.1	101.2
421	3	4	2	3	.037	332.19	2.65	378.8	3	47.4	72.11	77	174	136.9	201.3	6.3	125	101.2
422	3	4	1	3	.034	330.94	2.67	346.8	3.26	45.8	67.06	75.5	169	137	201.3	7.7	125	101.2
423	3	4	1	2	.034	412.41	3.41	456.3	3.63	48.2	72.72	83.2	189	136.9	201.4	25	125	101.2
424	3	4	2	3	.039	176.75	1.85	252.1	1.71	47.9	72.72	82.7	182	137	201.4	25	125	101.2
425	3	4	1	3	.032	361.02	2.91	354.2	3.09	46.7	57.16	68.2	170	136.8	201.1	12.2	67.1	101.249999
426	3	4	2	2	.055	369.81	2.91	313.6	2.83	45.5	52.52	69.5	164	136.9	201.1	12.2	134.2	101.209999
427	3	4	2	2	.031	294.58	2.47	356.7	2.93	48.5	72.72	79.7	176	137	201.4	2.3	100.7	101.2
428	3	4	2	2	.021	268.26	2.29	316.1	2.9	48	60.6	79.7	178	137	201.4	3.6	125	101.2
429	3	4	2	3	.032	372.32	3.39	409.6	2.97	46.7	74.13	59.2	160	136.8	201	13.6	335.5	101.279987
430	3	4	2	3	.013	462.57	3.92	435.4	3.85	49.8	80.8	83.7	185	137	201.4	25	125	101.2
431	3	4	3	3	.034	453.79	3.88	456.3	3.91	49.8	80.8	81.7	176	137.1	201.4	25	125	101.2
432	3	4	2	2	.012	188.04	1.83	266.9	3	24.9	33.73	76.2	169	137.1	201.4	2.7	125	101.2
433	3	4	2	2	.029	340.98	2.9	287.8	3.33	43.9	62.62	67	166	136.8	201.1	15.4	167.8	101.2
434	3	4	1	2	.03	209.34	2.17	307.5	3.07	48	60.6	78.7	182	136.8	201.3	7.7	125	101.2
435	3	4	1	3	.019	416.17	3.58	415.7	2.89	49.8	60.6	63.5	154	137.1	201.2	5.4	125	101.319995
436	3	4	3	3	.028	447.51	3.57	430.5	3.59	47.7	64.03	76	182	136.8	201.2	11.8	125	101.2
437	3	4	1	3	.028	407.42	3.18	437.9	3.35	48.3	76.76	74.2	174	136.9	201.2	8.6	125	101.23
438	3	4	1	3	.036	243.19	1.56	328.4	2.62	39.4	60.6	61.7	163	136.6	200.8	21.3	369	101.23
439	3	4	3	3	.046	261.98	1.63	309.9	3	48.8	47.06	70	179	136.7	201.1	10.9	469.7	101.2
440	3	4	1	2	.018	368.55	2.72	361.6	2.83	44.3	40.4	73.2	174	136.9	201.3	4.5	100.7	101.23
441	3	4	2	3	.011	342.23	3.18	413.3	3.55	48.3	70.7	65.5	176	136.6	201	14.5	201.3	101.259999
442	3	4	1	3	.008	470.1	4	477.2	3.63	48	80.8	92.2	238	136.5	201.5	25	125	101.2
443	3	4	1	3	.011	501.44	4	469.8	4	49.8	75.75	86	197	136.9	201.4	25	125	101.2
444	3	4	1	3	.008	501.44	4	477.2	4	49.8	80.8	84	186	137	201.4	25	125	101.2
445	3	4	1	1	.006	480.11	3.83	492	4	49.8	80.8	93.2	233	136.5	201.4	25	125	101.2
446	3	4	2	2	.037	366.04	3.08	455.1	3.75	45.4	68.68	77.7	180	137	201.4	2.3	125	101.23
447	3	4	2	2	.02	363.53	3.35	446.5	3.9	41.4	57.77	86.2	188	137	201.5	25	125	101.2
448	3	4	2	2	.024	412.41	3.46	464.9	3.91	48.3	70.7	78.7	171	137.1	201.4	25	125	101.24
449	3	4	2	2	.03	234.41	2	351.8	2.43	40.3	64.64	80.2	182	136.9	201.3	6.3	125	101.2
450	3	4	1	2	.026	231.9	2.04	373.9	2.09	43.1	53.93	81	182	136.9	201.4	4.1	125	101.2
451	3	4	1	1	.025	277.04	2.91	389.9	3.06	48.2	55.55	77.2	182	136.9	201.3	1.8	125	101.269992
452	3	4	1	2	.025	350.98	2.92	403.4	3.25	47.9	60.6	87.7	196	136.9	201.4	25	125	101.2
453	3	4	1	2	.017	317.13	2.94	426.8	3.81	47.5	47.06	91.2	218	136.6	201.4	1.4	125	101.2
454	3	4	1	2	.013	269.51	2.46	330.9	3.33	38.6	58.38	86.2	200	136.8	201.4	2.3	125	101.2
455	3	4	1	1	.039	305.87	3.18	398.5	3.53	48.8	69.28	86	200	136.8	201.4	2.7	125	101.2
456	3	5	3	3	.036	487.64	3.92	478.5	3.89	49.1	76.35	90.2	218	136.7	201.4	25	125	101.2
457	3	5	2	1	.043	352.24	3	415.7	3.47	47.5	72.92	90.7	227	136.5	201.4	2.7	125	101.2
459	3	5	2	1	.014	322.15	2.79	404.6	3.21	45.7	53.93	89.7	206	136.8	201.4	25	125	101.2
460	3	5	2	3	.013	462.57	3.54	442.8	3.67	49.8	80.8	97.2	250	136.3	201.5	25	125	101.2
461	3	5	2	1	.01	476.34	3.6	474.8	3.7	43.6	70.7	95.7	233	136.5	201.4	25	125	101.2
462	3	5	2	2	.023	463.83	3.78	476	3.64	48.4	74.13	91.7	221	136.6	201.4	25	125	101.2
463	3	5	2	3	.031	419.94	3.42	409.6	3.21	49.8	74.13	86.2	201	136.8	201.4	1.4	125	101.2
464	3	5	1	3	.014	456.3	3.5	453.9	3.43	48.4	80.8	90.2	222	136.6	201.4	25	125	101.2
465	3	5	1	3	.011	456.3	3.82	458.8	3.91	49.8	74.94	95.5	250	136.3	201.5	25	125	101.2
466	3	5	2	1	.011	409.9	3.36	458.8	3.44	42.1	57.16	95.2	242	136.4	201.4	25	125	101.2
469	3	5	2	3	.011	451.28	3.8	479.7	3.91	48.4	63.43	97.2	237	136.5	201.4	25	125	101.2
470	3	5	2	2	.01	338.47	2.5	423.1	3.44	45.2	70.7	94.7	242	136.4	201.4	25	125	101.2
471	3	5	2	1	.01	476.34	3.8	492	3.7	49.8	70.7	98.7	250	136.3	201.5	25	125	101.2
472	3	5	2	3	.009	473.83	3.89	478.5	3.75	45.7	60.6	90.5	219	136.6	201.4	3.6	125	101.2
473	3	5	2	3	.012	491.4	3.83	469.8	3.82	47.5	72.72	91.7	225	136.6	201.5	25	125	101.2
474	3	5	2	2	.026	462.57	3.77	482.2	3.46	49.8	80.8	95.7	240	136.4	201.4	25	125	101.2
475	3	5	2	3	.012	448.77	3.42	430.5	3.67	49.8	80.8	98.7	250	136.3	201.5	25	125	101.2
476	3	5	2	3	.027	329.68	2.93	391.1	3.44	49.8	74.94	89	216	136.7	201.4	25	125	101.2
477	3	5	2	3	.02	482.62	3.85	461.3	4	49.8	80.8	85.2	200	136.8	201.4	2.3	125	101.2
478	3	5	1	3	.027	487.64	4	487.1	4	49.8	79.79	84.2	193	136.9	201.4	1.8	125	101.2
479	3	5	2	1	.009	334.7	2.78	409.6	3.25	49.8	60.6	96	250	136.3	201.5	25	125	101.2
481	3	5	2	2	.016	368.55	3.13	430.5	3.33	47.3	80.8	72	167	137	201.3	4.1	134.2	101.24
482	3	5	2	2	.036	320.9	2.86	417	3.12	47.4	77.36	78.5	191	136.7	201.3	6.3	67.1	101.22
483	3	5	1	3	.025	406.17	3.4	447.7	3.58	48.8	68.68	75.5	188	136.7	201.2	9.5	167.8	101.2
484	3	5	2	3	.043	460.06	3.81	447.7	3.52	48.4	77.97	67.7	164	136.9	201.1	10.9	335.5	101.2
485	3	5	1	2	.035	333.45	2.8	376.4	3.24	45.7	62.82	83.7	196	136.8	201.3	5	125	101.2
486	3	5	1	1	.037	487.64	3.95	484.6	3.49	49.4	80.8	97.5	245	136.4	201.4	25	125	101.2
487	3	5	2	2	.038	432.49	3.5	469.8	3.23	49.3	75.75	89.2	207	136.7	201.4	2.3	125	101.2
488	3	5	2	3	.02	438.76	3.7	418.2	3.65	48.7	75.75	84.5	185	137	201.4	25	125	101.2
489	3	5	1	3	.021	451.28	3.75	485.8	3.53	49	75.35	93.8	236	136.5	201.4	25	125	101.2
490	3	5	2	3	.025	466.34	3.84	482.2	3.91	49.8	80.8	88.5	221	136.6	201.4	25	125	101.22
491	3	5	3	3	.027	477.6	3.93	487.1	3.85	48.8	79.99	92.5	230	136.5	201.4	25	125	101.2
492	3	5	2	3	.024	480.11	3.92	492	3.92	49.8	80.8	92.7	227	136.6	201.4	25	125	101.2
493	3	5	3	2	.04	313.4	2.32	346.8	3.32	45.4	73.53	89.5	222	136.6	201.4	25	67.1	101.22
494	3	5	2	2	.035	389.85	3.06	435.4	3.5	47.5	75.35	89	213	136.7	201.4	25	125	101.2
495	3	5	2	3	.024	386.09	3.17	466.1	3.26	48.3	76.35	90	221	136.6	201.4	25	125	101.2
496	3	5	2	2	.022	342.23	3.05	380.1	2.9	48.3	80.8	66.2	171	136.8	201.2	6.8	201.3	101.289996
497	3	5	3	3	.048	381.07	3.35	403.4	3.5	45.8	71.71	79	177	137	201.3	3.6	134.2	101.2
498	3	6	3	2	.021	363.53	3.1	434.2	3.13	49.8	72.72	77	173	137	201.3	5	125	101.2
499	3	6	2	2	.027	292.07	2.41	364.1	2.68	43.6	63.63	78.2	181	136.9	201.3	3.6	125	101.22
500	3	6	3	3	.012	386.09	3.42	471.1	3.45	47.3	67.26	83	197	136.7	201.3	5.4	125	101.2
501	3	6	2	2	.038	392.36	3.26	420.7	3.76	48.8	77.77	79.2	178	136.9	201.3	4.1	67.1	101.2
502	3	6	2	3	.05	445	3.82	425.6	3.8	48.3	77.77	74.5	158	137.1	201.3	8.1	125	101.2
503	3	6	2	3	.022	438.76	3.59	462.5	3.91	49	76.76	83	183	137	201.4	1.8	125	101.2
504	3	6	2	3	.043	396.13	3.21	460	3.59	46.9	77.36	88.2	215	136.7	201.4	25	125	101.2
506	3	6	3	2	.024	344.74	2.88	389.9	3.05	45.7	60.6	73.5	177	136.8	201.2	12.2	125	101.2
507	3	6	1	2	.029	414.92	3.45	462.5	3.57	49.1	77.16	97.5	245	136.4	201.4	25	125	101.2
508	3	6	1	2	.044	279.55	2.09	360.4	2.82	43.1	70.3	84.5	202	136.7	201.4	3.2	125	101.2
509	3	6	1	2	.043	329.68	2.53	386.2	3.13	45.2	69.69	84	201	136.8	201.4	1.8	67.1	101.2
510	3	6	1	3	.019	256.96	1.53	200.5	2.79	44.4	60.6	62.5	163	136.8	201	11.3	268.4	101.279987
511	3	6	1	2	.017	442.49	3.82	477.2	3.65	49	77.97	92	222	136.6	201.4	25	125	101.2
514	3	6	1	3	.035	383.58	3.26	391.1	3.19	49.8	79.38	83.5	195	136.8	201.3	5	125	101.2
515	3	6	2	1	.005	476.34	3.8	442.8	3.8	49.8	80.8	96.2	250	136.3	201.5	25	125	101.2
516	3	6	1	1	.003	460.06	3.67	492	3.67	49.8	80.8	100	250	136.3	201.5	25	125	101.2
517	3	6	2	3	.003	460.06	3.33	492	3.67	49.8	80.8	100	250	136.3	201.5	25	125	101.2
518	3	6	1	1	.034	463.83	3.73	477.2	3.52	47.5	71.91	78.5	192	136.8	201.3	3.2	167.8	101.22
519	3	6	1	3	.022	406.17	3.48	441.6	3.67	47.3	67.26	77.7	190	136.7	201.2	8.6	67.1	101.2
520	3	6	2	2	.04	347.22	3.15	387.4	3.28	46	64.03	76.5	192	136.6	201.2	12.2	125	101.22
521	3	6	2	2	.035	404.91	3.43	424.3	3.61	49.8	73.53	76.7	189	136.7	201.2	11.3	125	101.22
522	3	6	1	3	.04	472.58	3.92	482.2	3.84	48.9	79.79	85.5	207	136.7	201.4	25	67.1	101.22
523	3	6	1	3	.042	460.06	3.74	469.8	3.67	46.3	78.17	86.5	199	136.8	201.4	25	125	101.2
524	3	6	1	3	.045	476.34	3.87	485.8	3.37	49.8	79.99	96	243	136.4	201.4	25	125	101.2
525	4	1	2	1	.017	345.96	2.82	398.5	3.41	48.5	67.26	68.8	178	136.6	201	18.1	125	101.24
526	4	1	1	1	.009	348.47	2.89	314.9	3.56	45.7	60.6	66.7	170	136.6	200.9	22.6	125	101.2
527	4	1	1	1	.024	359.77	3.39	444	3.68	49.8	74.13	77	182	136.8	201.2	8.1	125	101.24
529	4	3	1	1	.015	442.49	3.47	492	3.93	49.8	70.7	85.7	219	136.5	201.3	3.6	100.7	101.249999
531	4	3	2	1	.039	382.32	3.67	457.6	3.82	48.7	80.8	65	171	136.7	201	13.6	201.3	101.259999
532	4	3	2	1	.034	376.08	3.41	437.9	3.7	47.7	77.97	65	171	136.7	201	13.6	201.3	101.259999
533	4	3	2	1	.02	470.1	3.9	485.8	3.65	49	80.8	67.2	166	136.8	201	16.3	125	101.24
534	4	3	1	1	.038	431.23	3.75	468.6	3.47	45.8	55.95	59.7	172	136.6	201	10.9	302	101.32999
535	4	3	2	1	.028	393.62	3.46	386.2	3.54	49.8	80.8	61	160	136.7	201	18.5	234.8	101.2
536	4	3	2	1	.047	389.85	3.79	408.3	3.6	48.8	70.7	60.2	165	136.7	200.9	16.7	503.3	101.2
537	4	3	2	1	.035	329.68	3.26	418.2	3.29	47.5	67.26	49.5	158	136.6	200.8	14.9	637.5	101.309985
538	4	3	1	1	.03	302.11	2.9	394.8	3.14	46.4	68.27	57	164	136.6	200.9	16.7	536.8	101.249999
539	4	3	1	1	.031	347.22	2.74	397.3	3.1	39.7	53.93	53.7	155	136.7	200.9	12.2	738.1	101.249999
540	4	3	1	1	.042	339.72	2.43	360.4	2.71	38.7	65.65	65.7	159	136.8	201	17.2	67.1	101.22
541	4	3	2	1	.029	432.49	3.72	471.1	3.54	49.3	78.58	81.5	206	136.6	201.3	3.6	100.7	101.259999
542	4	3	2	1	.04	328.43	2.79	362.8	3.38	49	80.8	64.7	180	136.6	201	12.7	570.4	101.22
543	4	3	2	1	.02	424.96	3.5	448.9	3.65	48.8	60.6	73.5	198	136.5	201.1	10.9	469.7	101.2
544	4	3	1	1	.037	477.6	3.92	485.8	3.89	49.3	74.74	82.7	206	136.6	201.3	4.1	67.1	101.22
545	4	3	2	1	.009	487.64	4	492	3.89	49.8	75	74.2	180	136.9	201.3	25	125	101.299991
548	4	3	2	1	.061	453.79	3.72	464.9	3.72	48.7	77.56	73	174	136.8	201.1	12.7	67.1	101.2
549	4	3	1	1	.041	412.41	3.44	423.1	3.77	47.7	76.96	71.2	182	136.8	201.2	4.1	536.8	101.2
550	4	3	2	1	.027	455.04	3.81	446.5	3.62	46.8	72.31	89	218	136.7	201.4	25	125	101.2
551	4	3	1	1	.02	394.87	3.3	473.5	3.39	46.9	74.94	92	224	136.6	201.4	1.8	125	101.2
552	4	3	1	2	.024	423.7	3.54	440.3	3.42	46.8	70.7	78.5	180	137	201.4	1.8	125	101.24
553	4	2	3	1	.005	476.34	3.8	442.8	3.2	45.7	70.7	89.5	190	136.9	201.4	25	125	101.2
555	4	2	2	1	.012	491.4	3.92	492	3.83	49.8	80.8	82	200	136.7	201.3	4.5	125	101.2
556	4	2	2	1	.023	485.13	3.96	464.9	3.96	49	72.72	94	239	136.4	201.4	25	125	101.23
557	4	2	3	1	.009	501.44	4	446.5	3.89	46.7	80.8	76.2	177	137	201.4	25	125	101.289996
558	4	2	3	1	.019	343.49	2.79	446.5	3.53	47.7	60.6	69	190	136.5	201	10.9	268.4	101.279987
559	4	2	2	1	.018	411.15	3.06	457.6	3.39	49.8	80.8	85.7	198	136.8	201.4	4.1	125	101.2
560	4	2	1	1	.013	462.57	3.85	435.4	3.62	47.3	70.7	84.7	206	136.7	201.3	5	125	101.2
562	4	4	2	1	.015	350.98	2.67	351.8	2.87	41.8	65.65	83.2	203	136.7	201.3	5	125	101.2
563	4	4	2	1	.012	292.07	2.17	317.3	2.91	48	64.64	84.7	186	137	201.4	25	125	101.2
564	4	4	1	1	.014	402.4	3.64	404.6	3.71	46.7	65.65	67.5	170	136.7	201	18.1	125	101.2
565	4	4	1	1	.012	417.43	3.17	378.8	3.08	48.4	72.72	89	210	136.7	201.4	25	125	101.2
566	4	4	1	1	.016	446.26	3.88	477.2	3.93	49.8	80.8	87.7	203	136.7	201.4	3.2	125	101.2
567	4	4	2	1	.012	354.75	2.67	338.3	3.27	49.8	65.65	85.2	191	136.9	201.4	25	125	101.2
568	4	4	2	1	.02	445	3.55	442.8	3.45	49.8	60.6	76.5	181	136.8	201.2	8.6	134.2	101.2
569	4	5	2	3	.011	445	3.82	480.9	3.91	49.8	80.8	78.7	150	137.3	201.5	25	125	101.2
570	4	5	3	2	.025	396.13	3.36	461.3	3.65	45.2	60.6	96	243	136.4	201.4	25	125	101.2
571	4	5	3	1	.009	348.47	3.22	423.1	3.25	49.8	70.7	57.2	190	136.5	201	3.2	671	101.399997
572	4	5	2	1	.036	362.28	2.94	337	3.31	43.1	58.58	88.5	202	136.8	201.4	25	125	101.2
573	4	5	2	1	.024	460.06	3.88	346.8	3.74	49.8	70.7	82.5	185	137	201.4	25	125	101.2
574	4	5	2	1	.013	404.91	3.08	453.9	3.58	47.7	74.13	80.2	191	136.7	201.2	10.9	125	101.2
575	4	6	3	1	.023	457.55	3.83	464.9	3.68	48.3	80.8	84	192	136.9	201.4	1.8	125	101.2
576	4	6	3	1	.015	409.9	3.67	451.4	3.46	49.8	80.8	77	195	136.7	201.3	4.1	167.8	101.249999
577	4	6	2	1	.014	402.4	3.43	404.6	3.54	48.4	70.7	82	182	137	201.4	1.8	125	101.2
578	4	6	1	1	.007	358.51	2.71	210.3	3.14	46.7	70.7	90.7	221	136.6	201.4	25	125	101.2
579	4	6	1	1	.008	282.06	1.88	307.5	3.29	47.3	70.7	86.2	205	136.7	201.4	4.1	125	101.2
580	4	6	1	1	.046	461.32	3.78	437.9	3.69	48.4	78.58	83	205	136.7	201.3	3.6	125	101.22
581	5	1	1	3	.046	340.98	2.96	423.1	3.7	48.3	69.28	79.2	173	137.1	201.4	2.3	125	101.2
582	5	1	1	3	.029	384.83	3.45	452.6	3.79	49.8	80.8	77.2	173	136.9	201.3	7.7	125	101.2
583	5	1	1	3	.03	376.08	3.23	471.1	3.8	49	78.37	81	191	136.8	201.3	5.9	125	101.2
584	5	1	2	3	.012	386.09	3.42	399.8	3.67	47.3	30.3	67.7	156	137	201.2	12.7	125	101.2
585	5	1	2	3	.026	394.87	3.62	430.5	3.65	47.5	60.6	69.7	181	136.7	201.1	9.5	234.8	101.269992
586	5	1	2	3	.018	354.75	3.11	444	3.71	48.8	80.8	72	174	136.9	201.2	7.2	268.4	101.2
587	5	1	1	2	.035	314.62	2.89	439.1	3.7	47.8	67.26	77.2	200	136.6	201.2	6.8	436.2	101.2
588	5	1	1	2	.015	451.28	3.4	421.9	3.67	49.8	80.8	84	193	136.9	201.4	25	125	101.2
589	5	1	1	2	.015	409.9	3.47	467.4	3.73	49.8	60.6	84	193	136.9	201.4	25	125	101.2
590	5	1	1	2	.013	453.79	3.54	456.3	3.83	49.8	80.8	84	193	136.9	201.4	25	125	101.2
591	5	1	1	2	.019	424.96	3.17	417	3.35	49.8	74.13	85.5	195	136.9	201.4	25	125	101.2
592	5	1	1	2	.018	389.85	3.56	457.6	3.41	49.8	80.8	85.5	195	136.9	201.4	25	125	101.2
593	5	1	2	2	.026	433.74	3.85	426.8	3.92	49.8	80.8	85.5	195	136.9	201.4	25	125	101.2
594	5	1	2	2	.037	274.53	2.43	338.3	3.35	47.7	72.72	74	166	137	201.3	5	167.8	101.2
595	5	1	1	3	.021	488.89	3.95	485.8	3.95	48.8	75.75	81.5	206	136.6	201.3	2.7	201.3	101.2
596	5	1	1	3	.013	443.75	3.92	482.2	3.5	49.8	80.8	83.5	194	136.9	201.4	25	125	101.2
597	5	1	2	2	.016	399.89	3.5	418.2	3.38	48.8	74.13	76.2	180	136.9	201.3	4.5	167.8	101.2
598	5	1	1	2	.021	358.51	2.9	381.3	3.05	46.2	70.7	76.2	180	136.9	201.3	4.5	167.8	101.2
599	5	1	2	1	.011	353.49	2.91	380.1	3.36	47.7	70.7	87.7	195	136.9	201.4	25	125	101.2
600	5	1	2	1	.011	456.3	3.55	436.6	3.4	48	70.7	87.7	195	136.9	201.4	25	125	101.2
601	5	1	2	3	.006	501.44	4	492	4	49.8	77	100	250	136.3	201.5	25	125	101.2
602	5	1	2	1	.007	501.44	4	492	4	49.8	80.8	100	250	136.3	201.5	25	125	101.2
603	5	1	2	2	.014	429.98	3.79	466.1	3.62	49.8	77.36	90.5	209	136.7	201.4	25	125	101.2
604	5	1	3	2	.027	450.02	3.19	373.9	3.48	47.3	74.13	99.2	250	136.3	201.5	25	125	101.2
605	5	1	2	2	.024	475.09	3.96	471.1	3.96	49.8	75.75	99	250	136.3	201.5	25	125	101.2
606	5	3	2	2	.082	378.56	3.32	417	3.54	48.8	71.71	85.5	215	136.6	201.3	2.3	100.7	101.23
617	5	3	1	1	.202	436.25	2.91	418.2	2.58	46	64.64	87.5	219	136.6	201.4	1.8	33.6	101.209999
643	5	3	1	2	.362	431.23	3.72	446.5	3.58	48.4	73.12	64.7	169	136.7	201	13.1	402.6	101.23
