Case_Num	Prod_Period	Prod_Type	Shift	Line	Prop_Def	Strength	Rating	Line_Speed	Tank_Acid	Moisture	Temp	Storage_Pct	Anneal_Temp	Bake_1_Temp	Bake_2_Temp	Roll_Tension	Rewind_Speed	Coating_Speed
59	2	1	1	3	.017	391.11	2.94	423.1	3.13	49.8	 	69.5	181	136.8	201.2	5.9	201.3	101.259999
60	2	1	2	3	.018	452.53	3.61	464.9	3.56	46.7	70.7	69.5	181	136.8	201.2	5.9	201.3	101.259999
61	2	1	1	3	.042	393.62	3.19	415.7	3.21	48.4	74.13	72.7	175	136.8	201.2	8.6	100.7	101.23
62	2	1	2	3	.04	439.98	3.47	439.1	3.77	45.7	68.68	72.7	175	136.8	201.2	8.6	100.7	101.23
63	2	1	1	3	.024	448.77	3.71	461.3	3.54	49.8	80.8	83.2	178	137.1	201.4	25	125	101.2
64	2	1	1	3	.024	452.53	3.74	455.1	3.68	48.9	74.13	82.2	179	137	201.4	25	125	101.2
65	2	1	2	2	.023	408.64	3.65	428	3.64	47.3	80.8	81.3	174	137	201.4	2.7	125	101.2
66	2	1	2	3	.02	382.32	3.25	418.2	3.45	39.4	70.7	86	202	136.8	201.4	25	125	101.2
67	2	1	1	3	.019	335.96	2.89	420.7	3.47	49.8	80.8	86	202	136.8	201.4	25	125	101.2
68	2	1	1	2	.016	392.36	3.06	415.7	3.73	46.7	40.4	89.2	208	136.7	201.4	2.3	125	101.2
69	2	1	1	2	.011	342.23	2.91	391.1	3.82	45.7	 	87.2	204	136.8	201.4	25	125	101.2
70	2	1	2	1	.007	429.98	3.14	386.2	2.5	43.6	60.6	85	195	136.9	201.4	25	125	101.2
71	2	1	1	3	.021	441.24	3.81	424.3	3.63	45.7	67.26	83	167	137.2	201.4	25	125	101.2
73	2	1	1	3	.004	501.44	4	492	4	49.8	80.8	100	250	136.3	201.5	25	125	101.2
74	2	1	1	1	.004	501.44	4	492	4	49.8	80.8	100	250	136.3	201.5	25	125	101.2
76	2	1	2	1	.019	422.45	2.58	392.4	3	48.7	60.6	94.5	231	136.5	201.4	25	125	101.2
77	2	1	2	1	.02	476.34	3.65	436.6	3.65	49.8	70.7	97	240	136.4	201.4	25	125	101.2
79	2	3	2	2	.032	305.87	2.78	415.7	3.08	48.8	65.04	82.2	210	136.6	201.3	5	100.7	101.24
92	2	3	1	1	.237	422.45	3.21	394.8	2.82	45.4	63.63	82.5	201	136.7	201.4	2.3	67.1	101.23
121	2	3	2	2	.351	436.25	3.8	440.3	3.62	47.7	74.54	67	173	136.7	201	10.9	436.2	101.23
133	2	3	2	2	.19	447.51	3.93	458.8	3.76	48.9	77.97	63.2	166	136.7	201	13.6	469.7	101.23
145	2	3	2	3	.198	176.75	1.7	362.8	2.03	37.7	48.28	58.5	167	136.6	200.9	14	503.3	101.259999
146	2	3	1	3	.14	233.15	1.86	297.7	2.8	41.8	61.2	52.7	155	136.7	200.8	18.1	570.4	101.269992
147	2	3	1	3	.091	214.36	1.59	284.1	2.44	35.3	53.33	57	154	136.7	200.8	19.9	536.8	101.209999
148	2	3	1	3	.095	230.64	1.8	268.1	2.64	40.2	61	60.2	159	136.6	200.8	24	335.5	101.2
149	2	3	2	3	.084	342.23	3.2	455.1	3.35	49.3	77.77	71	166	136.9	201.2	10.9	67.1	101.2
150	2	3	2	3	.053	412.41	3.59	466.1	3.68	47.3	77.16	73.5	168	136.9	201.2	9.9	125	101.2
151	2	3	2	3	.048	402.4	3.77	479.7	3.75	49.8	77.56	70.2	166	136.9	201.2	12.2	33.6	101.2
152	2	3	1	2	.054	350.98	3	421.9	3.3	44.7	75.75	65.5	166	136.7	201	15.4	302	101.22
153	2	3	2	2	.071	332.19	2.97	423.1	3.28	47.3	72.72	65.5	166	136.7	201	15.4	302	101.22
154	2	3	2	2	.06	302.11	3	404.6	3.2	43.8	52.52	64	162	136.8	201	14	369	101.2
155	2	3	1	2	.06	265.75	2.1	387.4	2.81	36.5	48.48	64	162	136.8	201	14	369	101.2
156	2	3	2	3	.118	413.66	3.66	451.4	3.52	48.4	75.95	72.7	176	136.8	201.2	9	100.7	101.22
157	2	3	1	3	.204	403.66	3.48	447.7	3.7	48	74.13	71.5	173	136.8	201.1	10.9	134.2	101.209999
158	2	3	1	3	.22	315.88	2.94	386.2	3.45	46.5	72.11	71.5	173	136.8	201.1	10.9	134.2	101.209999
159	2	3	3	3	.034	423.7	3.68	473.5	3.68	49.8	78.37	94	228	136.6	201.4	25	125	101.2
160	2	3	2	2	.039	423.7	3.56	403.4	3.55	42.1	66.66	80.7	172	137.1	201.4	25	125	101.2
161	2	3	2	2	.037	437.51	3.54	435.4	3.56	45.8	76.15	78	169	137.1	201.4	2.3	125	101.22
162	2	3	3	3	.036	428.72	3.53	462.5	3.51	48.5	77.77	90	223	136.6	201.4	25	125	101.22
163	2	3	3	2	.034	383.58	3.53	419.4	3.44	47.7	72.11	84.7	194	136.9	201.4	25	125	101.2
